date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
2022-11-15T15:09:56Z,PAYMENT RECEIVED,650467616,0,0794f9d66d5e769469b00bb24d5ae80f56275a784bf69c79511ad9c499f401c4,30188193897
2022-11-15T14:28:13Z,PAYMENT RECEIVED,653575436,0,5a3af5b0182e129b1a19cc17410d491962d4efec349a987fc9c237767de7580c,29537726281
2022-11-15T13:29:26Z,PAYMENT RECEIVED,640933667,0,fa91b3e58e908f829623fe18c561ad2d810abd90a828de3a76230518878eecf4,28884150845
2022-11-15T13:26:43Z,PAYMENT RECEIVED,639732936,0,212c24589476678826e3b63ca8ccbf01e9f75b24e6aa8fc8fde4b10c7662dd2d,28243217178
2022-11-15T13:22:24Z,PAYMENT RECEIVED,654832670,0,add58c7443094ab9ae07d818316aafe637626818f32d7499b6aad3aafe5dfd1d,27603484242
2022-11-15T13:14:40Z,PAYMENT RECEIVED,650484273,0,07ffcbe29083f3ab73b09dd43965a4aa3ff92c699bb116649b2089f0e5109a60,26948651572
2022-11-15T12:19:21Z,PAYMENT RECEIVED,654393400,0,b292925618cfd6bcf9b1baedd7452736b77e4725a19a0467b033f9316b6a12bc,26298167299
2022-11-15T11:34:05Z,PAYMENT RECEIVED,664325806,0,b3897fe609bbf14fc4ef07720642456d7d97f7cc37306a5b4a9011c8255577c1,25643773899
2022-11-15T10:31:21Z,PAYMENT RECEIVED,653185987,0,066127617e254d959bbc5de246112bcc7303715804e435d30247ee80ce259963,24979448093
2022-11-15T08:25:28Z,PAYMENT RECEIVED,640375763,0,b7ca2959b8f40c82549f3e7fbfc8b0f3056dfb675688f203b350bb35ee2e5b1d,24326262106
2022-11-15T08:23:21Z,PAYMENT SENT,0,-1953855654,f59587cbc911dbb9b749a11611cd39b85ad5827f2bb18bddf5b7cd49b908bf3d,23685886343
2022-11-15T08:12:51Z,PAYMENT RECEIVED,663894717,0,05a53db856af42c07e2341d35eddf8bf6e0ff1147c3331bcef20c72f3df35fb5,25639741997
2022-11-15T07:39:55Z,PAYMENT RECEIVED,650400740,0,101ab5ab54187bf2232bf16f29526e4533a682792454b8583c1ceaaa53615bad,24975847280
2022-11-15T07:30:15Z,PAYMENT RECEIVED,658311540,0,6ba454f47543f1aa3eaaa2f478ac6747d5688a28ec663d1439560eacaf5d8fc3,24325446540
2022-11-15T05:07:58Z,PAYMENT RECEIVED,644412692,0,b45a69165396f5bbca2b7889c8b59b77f6d8b6322ef4f50f312f27be235aceff,23667135000
2022-11-15T04:12:42Z,PAYMENT RECEIVED,642704785,0,a05218a60190ee864dddd924816c4ee1cca2ba13053d546a5ff52f24046eb020,23022722308
2022-11-15T03:52:20Z,PAYMENT RECEIVED,643475027,0,9a751101b9f5ff509b7fc6b34405472af1fac526ebd86a2260297df3ef7cfc64,22380017523
2022-11-15T02:49:14Z,PAYMENT RECEIVED,644644599,0,c3ab0d738f6a45b6a79a847d55a8351158c9fa66a2facbd52d6a24a0080ccbee,21736542496
2022-11-15T02:16:53Z,PAYMENT SENT,0,-7660658028,e9ec519bfecf11746bafaded78c0b8ac6dfabd7def9d706bb4a6e9a512d579b7,21091897897
2022-11-15T01:09:13Z,PAYMENT RECEIVED,648390259,0,088a1d97db0e2f1b54491d481ab40c12ca6b8017f20f3e76bfcd5d3ccf6f48ac,28752555925
2022-11-14T23:47:49Z,PAYMENT RECEIVED,657605662,0,e54e82f3afbb7a47034b7ba79850a89e7da7ab5faaef166ea4479d08ac09db14,28104165666
2022-11-14T23:11:27Z,PAYMENT RECEIVED,664950802,0,49fa9caed75e63332d650dd02c055db4b65cefc6c14e62a88f20373804e52ab8,27446560004
2022-11-14T22:39:04Z,PAYMENT RECEIVED,657553780,0,0dc0f95f0b917055f1ec97d687f30fe6095e1c3c382a27770f0f6c157a918ca5,26781609202
